pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
1874 Q1,Coggia's Comet (1874 IV),6.2,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 1874 H1 (wrong; that was the previous great-comet entry 1874 III); body identifies as Coggia's 19 Aug 1874 discovery in Taurus, much fainter and a separate apparition = 1874 Q1 (Coggia) per target list peri 1874-07-18 (post-peri discovery); only E-II H10=6m.2 cited; D1max=2'.6 to 4'.0; page-image proofread vs page 242: confirmed",high,1874 IV,242,"Absolute magnitude H10=6m.2 estimated in E-II. Maximum value D1=2'.6 to 4'.0."
1874 O1,Borrelly's Comet (1874 V),8.2,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 1874 Q1 (wrong); body identifies as Borrelly's 25 July 1874 discovery, perihelion ~late Aug from r,Δ → 1874 O1 (Borrelly) per target peri 1874-08-27; E-II H10=8m.2 (in Oct., 10m.5 — fading post-peri); chose pre-peri E-II value per §3.3; D1=3'.1; page-image proofread vs page 242: confirmed",medium,1874 V,242,"In E-II, H10=8m.2 (in Oct., 10m.5). 30 July, D1=3'.1. In August, from Bruhns, D1=1'.3."
1874 X1,Borrelly's Comet (1874 VI),7.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1874 O1 (wrong; that's the previous Borrelly entry 1874 V); body identifies as Borrelly's 6 Dec 1874 discovery in Corona Borealis, post-peri (peri 1874-10-19) → 1874 X1 (Borrelly); E-II H10=8m.0; Big V synthesis H10=7m.6 — chose Big V's value as more recent reappraisal; D1=2'.5; page-image proofread vs page 243: confirmed",medium,1874 VI,243,"In E-II, H10=8m.0; from these estimates, H10=7m.6; D1=2'.5."
7P,Pons-Winnecke,7.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 11P (wrong; printed text reads 'fourth recorded apparition of the short-period Comet Pons-Winnecke' = 7P, target list 1875 7P peri 1875-03-12 matches body discovery 1 Feb); E-II H10=8m.2; Big V synthesis H10=7m.6 — preferred as Big V's own consolidated value; Holetschek did not study this apparition; periodic — will dedupe with other 7P apparitions; page-image proofread vs page 243: confirmed text reads 'Pons-Winnecke'",high,1875 I,243,"In E-II, H10=8m.2. Holetschek did not study this apparition. From the estimates above, H10=7m.6."
2P,Encke's Comet,9.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'twenty-first recorded apparition of Comet Encke-Backlund' = 2P; Holetschek H1=8m.1 to 10m; C.A.M. H10=9m.9 (Big V wrote with question mark '?'); periodic — will dedupe with other 2P apparitions; page-image proofread vs page 243-244: confirmed (note '?' on C.A.M. value)",medium,1875 II,243,"Taking m=12 to 13m on 27 Jan., 30 March, 7m; 9 April, 7m.5; 7 May, 7m.5; 17 May, 9m(?), Holetschek obtained H1=8m.1 to 10m. In C.A.M., H10=9m.9? In March, D1max=3'.4, S=0.001."
1877 C1,Borrelly's Comet (1877 I),8.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Borrelly) + perihelion early Feb 1877 → 1877 C1; Holetschek H1=8m.8 (m=6m for 10-18 Feb); C.A.M. H10=8m.9; Big V synthesis H10=8m.2; D1=7'.8 to 5'.1; chose C.A.M. per §3.1; page-image proofread vs page 244-245: confirmed",high,1877 I,244,"Holetschek, taking for 10 Feb. to 18 Feb. m=6m, obtained H1=8m.8. In C.A.M., H10=8m.9. From these estimates, H10=8m.2. Schmidt gave D1=7'.8 to 5'.1 from 10 Feb. to 10 March. No tail reported."
1877 G2,Swift's Comet (1877 III),6.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Swift, Block, Borrelly) + perihelion April 1877 → 1877 G2 (Swift); E-II H10=7m.5; ASYMMETRIC: pre-peri H10=6m.7, post-peri (May-June) H10=9m.2; took pre-peri (brighter) per §3.3; D1=2'.2 to 2'.7; rapid drop in May; page-image proofread vs page 246-247: confirmed",low,1877 III,246,"In E-II, H10=7m.5. According to estimates, before the perihelion passage, H10=6m.7. At the end of May and in June, H10=9m.2; D1=2'.2 to 2'.7."
6P,d'Arrest's Comet,8.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1877 R1 (wrong; that's Coggia 1877 VI); body explicitly: 'fourth recorded apparition of the short-period Comet d'Arrest' = 6P; Holetschek H1=9m.1 to 10m.8 (avg 10m); C.A.M. H10=8m.8; chose C.A.M. per §3.1; periodic — will dedupe with other 6P apparitions; page-image proofread vs page 247: confirmed",high,1877 IV,247,"Holetschek adopted m=11 to 13m, hence H1=9m.1 to 10m.8; average, 10m. In C.A.M., H10=8m.8. In July, D1=4.8 to 3'; in August, 2'.7."
1877 T1,Tempel's Comet (1877 V),6.0,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Tempel) + body discovery 2 Oct 1877 → 1877 T1 (Tempel); E-II H10=6m.0; nucleus brilliance h10=8m.1; end Oct H10=7-8m (fading post-discovery); discovered 4.5 months after perihelion passage; chose E-II per §3.1; page-image proofread vs page 247-248: confirmed",high,1877 V,247,"From E-II, absolute magnitude H10=6m.0. Nucleus brilliance h10=8m.1; at the end of October, H10=7 to 8m. Comet grew rapidly faint and its discovery might have been associated with an abrupt increase in brightness."
1877 R1,Coggia's Comet (1877 VI),6.3,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Coggia) + body discovery 13 Sept 1877 → 1877 R1 (Coggia); E-II H10=6m.3; nucleus h10=9m.3; D1=2'; page-image proofread vs page 248: confirmed",high,1877 VI,248,"From E-II, H10=6m.3; 14 Oct., brilliance of nucleus h10=9m.3; D1=2'."
1878 N1,Swift's Comet (1878 I),8.5,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Swift); only E-II H10=8m.5 cited; observed only 4 days; brief photometry; page-image proofread vs page 248: confirmed",high,1878 I,248,"Absolute magnitude cited according to E-II (8m.5). No data referring to size have been retained."
2P,Encke's Comet,10.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'twenty-second recorded apparition of the Comet Encke-Backlund' = 2P; Holetschek H1=8m.1 to 10m.2; C.A.M. H10=10m.1; D1=2 to 3'; periodic — will dedupe with other 2P apparitions; page-image proofread vs page 248-249: confirmed",high,1878 II,248,"Holetschek adopted for 3 Aug. m=6m.5; 10 Aug., 8m; 17 Aug., 8m.5; 26 Aug., 9m; 6 Sept., 10m.5; hence, H1=8m.1 to 10m.2. In C.A.M., H10=10m.1. 3 Aug. D1=2 to 3'. No tail observed."
10P,Tempel 2,9.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'second recorded apparition of the short-period Comet Tempel(2)' = 10P; Holetschek m between 10 and 12m, H1=9.9 to 10m.7 avg 10m.2; C.A.M. H10=9m.4; D1=1'.6 to 2'.3; chose C.A.M. per §3.1; periodic — will dedupe with other 10P apparitions; page-image proofread vs page 249: confirmed",high,1878 III,249,"Holetschek took m between 10 and 12m, obtaining H1=9.9 to 10m.7; on the average, 10m.2. In C.A.M., H10=9m.4; D1=1'.6 to 2'.3."
5D,Brorsen's Comet,9.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 9P (wrong); body explicitly: 'fifth (and last) recorded apparition of the short-period Comet Brorsen' = 5D; Holetschek H1=8m.1 to 9m.3 and for May 11 to 12m; C.A.M. H10=9m.4 to 12m (range — took bright end per §3.6 brightest preference for periodics); Konopleva H10(av)=9m.3; took C.A.M. bright end 9.4; comet 'fainter by 1 to 2m than the 1857 apparition'; periodic — will dedupe with other 5D apparitions; page-image proofread vs page 249-250: confirmed",high,1879 I,249,"Holetschek obtained from brightness estimates H1=8m.1 to 9m.3 and for May 11 to 12m. Apparently, the comet grew rapidly faint. In C.A.M., H10=9m.4 to 12m. According to V.P. Konopleva H10(av)=9m.3; H10(max)=12m.3 to 12m.6 and H10(min)=8m.0."
1879 M1,Swift's Comet (1879 II),4.5,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Swift) + body discovery 16 June 1879 → 1879 M1 (Swift); E-II H10=4m.5; nucleus h10=8m.1; D1=4'.9; discovered ~50 days after perihelion; page-image proofread vs page 250: confirmed",high,1879 II,250,"In E-II, H10=4m.5. In July-August, brilliance of nucleus h10=8m.1; D1=4'.9; 16 June to 20 June, S=0.0003."
9P,Tempel 1,10.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'third and last recorded apparition of the short-period Comet Tempel(1)' = 9P; Holetschek H1=11m.3 to 12m.1; C.A.M. H10=10m.4; D1=0'.8 to 1'.6; periodic — will dedupe with other 9P apparitions; page-image proofread vs page 250-251: confirmed",high,1879 III,250,"Holetschek took m=12m on 19 May. 21 June 13m, an obvious underestimate; then H1=11m.3 to 12m.1. In C.A.M., H10=10m.4; D1=0'.8 to 1'.6."
1879 Q1,Palisa's Comet (1879 V),5.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Palisa) + body discovery 21 Aug 1879 → 1879 Q1 (Palisa); C.A.M. H10=6m.0; nucleus y=17m, h0=6m.2 from Harvard; Big V synthesis H10=5m.5 from Schmidt's estimates — preferred as Big V's own consolidated value; D1=5'.5 to 7'; page-image proofread vs page 251-252: confirmed",high,1879 V,251,"In C.A.M., H10=6m.0. Observations at Harvard gave for the nucleus y=17m, h0=6m.2. According to the estimates above, H10=5m.5."
1880 C1,Great Southern Comet 1880,7.1,10.0,"Vsekhsvyatskij 1958, other","matched by descriptive name (Great Southern); script Roman-fallback flagged medium but body confirms — large southern comet, tail visible from S. America/S. Africa/Australia from 31 Jan; Holetschek H1=7m; C.A.M. H10=8m.7 — Big V flags 'an obvious underestimate' (similar to V1 Donati pattern); ASYMMETRIC: Big V synthesis H10=7m.1 first period (taking m=3m on 5 Feb per Eddie), H10=8m.9 end of observations; took pre-peri (brighter) per §3.3; comet 'apparently grew rapidly faint'; popular_name uses 'Great Southern Comet 1880' since target_list comet_name is 'C/1880 C1 (Great southern comet)'; sanity check: M1=7.1 implies modest peak (this was a low-altitude tail-only sungrazer fragment, consistent); page-image proofread vs page 252-253: confirmed; ERRONEOUS C.A.M. flagged",low,1880 I,252,"Holetschek, taking m=5m(?) for 5 Feb., obtained H1=7m(?). In C.A.M., H10=8m.7 an obvious underestimate. Taking m=3m on 5 Feb. (Eddie) and 17 Feb. m=7 to 8m, we obtain H10=7m.1 in the first period and H10=8m.9 at the end of observations."
1880 G1,Schaeberle's Comet (1880 II),2.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Schaeberle) + body discovery 6 April 1880 → 1880 G1; E-III H10=2m.7 (E-III ≠ E-II per session V5; falls under 'other' per §3.1 source format); nucleus h10=6m.1; D1=3'.7; chose E-III; sanity check: M1=2.7 is bright but Schaeberle's Comet was indeed a bright object with a tail visible to naked eye; page-image proofread vs page 253: confirmed",high,1880 II,253,"In E-III, H10=2m.7 (accords with the estimates above). Brightness of the nucleus (or the central condensation), h10=6m.1. 27 May, D1=3'.7. S=0.0004."
1880 S1,Hartwig's Comet (1880 III),7.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Hartwig) + body discovery 29 Sept 1880 → 1880 S1 (Hartwig); Holetschek H1=7m.3; C.A.M. H10=7m.6; Big V synthesis H10=7m.7±0m.7; nucleus h10=9m.8; chose C.A.M. per §3.1; page-image proofread vs page 253-254: confirmed",high,1880 III,253,"Holetschek took m=5m.5 on 2 Oct.; hence, H1=7m.3. In C.A.M., H10=7m.6. According to naked-eye estimates and estimates in October and November (9 estimates), H10=7m.7±0m.7; for the nucleus h10=9m.8."
11P,Tempel-Swift-LINEAR,13.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'second recorded apparition of the short-period Comet Tempel-Swift' = 11P; Holetschek H1=13m.8; C.A.M. H10=13m.6 (very faint); Big V synthesis H10=12m.2; D1=2 to 3'; chose C.A.M. per §3.1; periodic — will dedupe with other 11P apparitions; page-image proofread vs page 255: confirmed",high,1880 IV,255,"Holetschek took 28 Nov. to 1 Dec. 9m.8 and found H1=13m.8. In C.A.M., H10=13m.6. From these estimates, H10=12m.2. 1 Dec., from Schmidt, D1=2 to 3'; other estimates, D1=1'."
1880 Y1,Pechule's Comet (1880 VI),5.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Pechule) + body discovery 16 Dec 1880 → 1880 Y1 (Pechule); Holetschek H1=6m.3 (from Kobold's 22 Dec estimate); C.A.M. H10=5m.8; Big V synthesis H10=5m.8 from 14 instances (matches C.A.M.); nucleus h10=7m.1; brightness increase Feb-Mar; D1max=11'.5; chose C.A.M. per §3.1; NOTE: Big V's 1880 V (Cooper, 21 Dec) appears to be the same comet (target list has only 1880 Y1 in late Dec 1880); Cooper's row excluded as duplicate of this entry (more substantive); page-image proofread vs page 256: confirmed",high,1880 VI,256,"Holetschek, proceeding from Kobold's estimate, obtained for 22 Dec. H1=6m.3. In C.A.M., H10=5m.8. According to the estimates above (14 instances) H10=5m.8; for the nucleus h10=7m.1; an increase in brightness in February and March."
