pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
14P,Wolf's Comet (1891 II),7.78,10.0,"Vsekhsvyatskij 1958, other","matched by name (Wolf); SECOND recorded apparition of 14P/Wolf; Holetschek H1=6.2 to 7.3; Vsekhsvyatskii MNRAS 1930 H10=7.6 (range 6.2-8.5); Vsekhsvyatskii 1950 reappraisal A.Zh. 27:15 H10=7.78 (max=6.7 min=8.8); chose 1950 reappraisal as most recent and apparition-specific; Bobrovnikoff erroneous reduction H0~11; periodic — dedupe with other 14P apparitions; page-image proofread vs page 308: confirmed",medium,1891 II,308,"From Holetschek's estimates, H1=6m.2 to 7m.3. According to S.K. Vsekhsvyatskii, M.N., 30:713, H10=7m.6 (between 6m.2 and 8m.5). After thorough reappraisal of all estimates H10=7.78; H10(max)=6m.7 and H10(min)=8m.8. S. Vsekhsvyatskii, A. Zh., 27:15. 1950."
2P,Encke's Comet,9.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Encke-Backlund); 26th recorded apparition; Spotted by Barnard 1 Aug 1891; Holetschek H1=14.8 to 7.6; In C.A.M., H10=9.3 with non-standard y=8.6 (Hy=8.7); periodic — dedupe with other 2P apparitions; note y=8.6 not 10 standard; page-image proofread vs page 309: confirmed",high,1891 III,309,"Holetschek estimated H1 from 14m.8 (2 Aug.) to 7m.6 (September-October). In C.A.M., H10=9m.3; y=8.6, Hy=8m.7. In Sept., D1=2'.0; 3 Oct., S=0.005."
1891 T1,Barnard's Comet (1891 IV),9.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Barnard); 2 Oct 1891 disc, southern declination → C/1891 T1 (Barnard, peri Nov 14); only E-III H10 cited; D1=1'; brief observation; page-image proofread vs page 309: confirmed",high,1891 IV,309,"In E-III, H10=9m.4. D1=1'."
11P,Tempel-Swift Comet,13.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1891 F1, body identifies as 'third recorded apparition of the short-period Comet Tempel(3)-Swift' = 11P/Tempel-Swift-LINEAR (rediscovered by Barnard 27 Sept 1891 per Bossert's ephemeris + Denning indep 30 Sept); Holetschek H1=14.1; In C.A.M., H10=13.8; faint comet; periodic — dedupe with other 11P apparitions; page-image proofread vs page 310: confirmed",high,1891 V,310,"According to the estimates of 3 Nov., m=11m.5; 21 Dec. to 29 Dec., 12m.0. Holetschek obtained H1=14m.1. In C.A.M., H10=13m.8. Average D1=0'.63."
1892 E1,Swift's Comet (1892 I),3.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Swift); naked-eye discovery 6 March 1892 in Sagittarius; Holetschek's estimates y=9.6, Hy=3.3; Vsekhsvyatskii A.Zh. 2:76 1925 (V.I.); In C.A.M., H10=3.2; March-April D1=5 to 10'; page-image proofread vs page 312: confirmed",high,1892 I,312,"According to Holetschek's estimates, y=9.6, Hy=3m.3. Vsekhsvyatskii A. Zh., 2:76. 1925. In C.A.M., H10=3m.2. March and April, D1=5 to 10'."
1892 F1,Denning's Comet (1892 II),5.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Denning); 18 March 1892 disc near delta Cephei; In C.A.M., H10=6.1 flagged by Big V as 'a slight underestimate'; Big V's preferred synthesis from Spitaler+Luther H10=5.4; took Big V endorsement (5.4) over flagged C.A.M.; nucleus 6.5; page-image proofread vs page 313: confirmed",low,1892 II,313,"In C.A.M., H10=6m.1, a slight underestimate. Proceeding from Spitaler's estimates and taking m=values that differ by 1m from Luther's estimates, we obtain H10=5m.4; nucleus 6m.5."
17P,Holmes' Comet,0.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Holmes); FIRST recorded apparition of 17P/Holmes — famous 1892 outburst; discovery flare brightness mag 4-5 (naked eye) at Nov 1892, second flare mid-Jan 1893; Holetschek H1=1.9 to 2.6 (early Nov), 3.1 (later), 4.1 (Feb); Vsekhsvyatskii A.Zh. 2:77 H10=4.8; BIG V FLAGS C.A.M. AS UNDERESTIMATE — 'In C.A.M., H10=5 to 8m.5, a sizeable underestimate'; Big V's preferred from observations: H10=0.0 to 0.5 in early Nov flare and Jan flare; minimum H10=6.5 (10-14 Jan); nominal H10=6.0 March-April; chose peak H10=0.0 reflecting outburst (per §3.6 brightest for periodic dedupe); periodic — dedupe with other 17P apparitions; page-image proofread vs page 314: confirmed",low,1892 III,314,"In C.A.M., H10=5 to 8m.5, a sizeable underestimate. ... for the period between 8 Nov. and 13 Nov. 1892, H10=0m.0 to 0m.5; 16 Jan. and 18 Jan. 1893, H10=to 0m.5. At the minimum 10 Jan. to 14 Jan. 1893, H10=6m.5. March and April 1893, H10=6m.0."
7P,Pons-Winnecke Comet,10.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Pons-Winnecke); 6th recorded apparition; rediscovered by Spitaler 18 March 1892 per Haerdtl's ephemeris; Holetschek H1=10.9 to 10.2; In C.A.M., H10=10.6; non-standard y=16.8, Hy=11.0 (steep brightness law); periodic — dedupe with other 7P apparitions; page-image proofread vs page 315: confirmed",high,1892 IV,315,"Holetschek's estimates gave H1=10m.9 to 10m.2. In C.A.M., H10=10m.6; and y=16.8; Hy=11m.0. From Spitaler, D1=2'.0. S>0."
206P,Barnard-Boattini Comet,9.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Barnard); FIRST PHOTOGRAPHIC DISCOVERY of a comet (Barnard 12 Oct 1892); 206P/Barnard-Boattini peri 1892-12-11; In C.A.M., H10=10m; Big V's narrative 'From the estimates above, H10=9.8'; took Big V's preferred 9.8; periodic — dedupe with other 206P apparitions; page-image proofread vs page 317: confirmed",high,1892 V,317,"Absolute magnitude estimated first in M.N., 90:720. In C.A.M., H10=10m. From the estimates above, H10=9m.8; D1=1'.1; S>0."
1892 Q1,Brooks's Comet (1892 VI),5.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); 28 Aug 1892 disc Geneva NY; Holetschek H1=7.2 to 5.4 (heliocentric variation); Vsekhsvyatskii A.Zh. 2:68 y=10.6 Hy=5.2; In C.A.M., H10=5.3; nuclear h0=7.0; page-image proofread vs page 318: confirmed",high,1892 VI,318,"Holetschek found from the estimates of Cruls, Kobold et al., H1=7m.2 to 5m.4. From Holetschek's observations, S. Vsekhsvyatskii, A. Zh., 2:68 obtained y=10.6; Hy=5m.2. In C.A.M., H10=5m.3."
1892 W1,Brooks's Comet (1893 I),7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); 19 Nov 1892 disc Geneva NY; V.I. derived from Holetschek's observations y=6.5, Hy=8.1; In C.A.M., H10=7.8; D1=3'.2; page-image proofread vs page 319: confirmed",high,1893 I,319,"V.I. derived from Holetschek's observations y=6.5; Hy=8m.1. In C.A.M., H10=7m.8. 11 Jan., D1=3'.2."
1893 N1,Rordame-Quenisset Comet,6.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Quenisset); naked-eye comet July 1893; co-discovered by Quenisset 9 July, Rordame 8 July, Johnson+Miller 8 July, Roso de Luna (4 July, mistook for Finlay), Sperra 19 June; Holetschek H1=5.8 to 6.8; non-standard y=9.9 Hy=6.6; In C.A.M., H10=6.6; Bobrovnikoff n=2.24 H0=6.42 (n=1.76 H0=6.40); nucleus 10.6; comet 'magnificent' 3-4m at peak; page-image proofread vs page 320: confirmed",high,1893 II,320,"Holetschek, A.N., 133:347, obtained H1-values between 5m.8 and 6m.8. Holetschek's estimates gave Hy=6m.6, y=9.9; nucleus, 10m.6. In C.A.M., H10=6m.6."
15P,Finlay's Comet,9.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Finlay); SECOND apparition of 15P/Finlay; rediscovered 17 May 1893; Holetschek H1=10.0; In C.A.M., H10=10.1 (note: this 1893 apparition C.A.M. value is 10.1 rather than 9.2 from 1886 — listed M1=9.2 holds the brighter dedupe value from 1886 first apparition); periodic — dedupe with other 15P apparitions; page-image proofread vs page 321: confirmed",high,1893 III,321,"Proceeding from Finlay's and his own estimates, Holetschek obtained H1=10m.0. In C.A.M., H10=10m.1; D1=1'.3."
1893 U1,Brooks's Comet (1893 IV),6.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 15P, but Big V 1893 IV (1893d, Brooks Geneva NY 16 Oct 1893 disc) → C/1893 U1 (Brooks, peri Sep 19 1893); With Holetschek's observations, V.I. y=11.0 Hy=6.7; In C.A.M., H10=6.6; nucleus 8.5; bright comet, photographed by Barnard 22 Oct showing complex tails; Searle reported orbit similarity with 1822 I and 1864 I; page-image proofread vs page 322: confirmed",high,1893 IV,322,"With Holetschek's observations, V.I. obtained y=11.0; Hy=6m.7. In C.A.M., H10=6m.6. Nucleus (central condensation) 8m.5."
489P,Denning's Comet,10.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Denning); 489P/Denning peri 1894-02-09 — discovery apparition; Denning Bristol 26 March 1894 disc 50 days post-peri; M.N. 90:720 H10=10.2; Big V's narrative synthesis H10=10.4±0.1; periodic — dedupe with other 489P apparitions; page-image proofread vs page 324: confirmed,medium,1894 I,324,"In M.N., 90:720, H10=10m.2. From these estimates, H10=10m.4±0m.1."
1894 G1,Gale's Comet,6.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Gale); naked-eye discovery by amateur Gale (Paddington Sydney) with 3-inch telescope on 1 April 1894; visible to unaided eye 4-7m; V.I. Hy=6.3 (y=10.1); In C.A.M., H10=6.6; brightness changed faster than r^-2; page-image proofread vs page 325: confirmed",high,1894 II,325,"V.I. obtained from Holetschek's observations Hy=6m.3, y=10.1. In C.A.M., H10=6m.6. 12 April, D1=7'.5; 27 April, 13'."
10P,Tempel 2 Comet,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Tempel); third recorded apparition of 10P/Tempel 2; rediscovered by Finlay 8 May 1894 per Schulhof; faint 11m at discovery; Holetschek H1=10.5; In C.A.M., H10=9.5; D1=1'.7; periodic — dedupe with other 10P apparitions; page-image proofread vs page 325: confirmed",high,1894 III,325,"Holetschek adopted m=11m.3 on 8 May and in Aug., 13m.5; hence, on an average, H1=10m.5. In C.A.M., H10=9m.5. D1=1'.7."
54P,de Vico-Swift-NEAT Comet,10.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Swift); 'presumably third recorded apparition of the Comet de Vico-Swift'; E. Swift Jr. (Echo Mountain) 20 Nov 1894 rediscovery; Holetschek H1=10.7 to 12.3 (mid 11.5); In C.A.M., H10=10 to 11m (range); Big V's narrative 'According to these estimates, H10=10.2'; Barnard's first estimate weight 1/2; periodic — dedupe with other 54P apparitions; page-image proofread vs page 326: confirmed",high,1894 IV,326,"Holetschek obtained H1=10m.7 to 12m.3. In C.A.M., H10=10 to 11m. According to these estimates, H10=10m.2."
2P,Encke's Comet,9.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Encke-Backlund); 27th recorded apparition; discovered photographically by Perrine+Wolf 31 Oct 1894; Holetschek H1=11.5 to 8.0; In C.A.M., y=10.3, Hy=9.3, H10=9.3; periodic — dedupe with other 2P apparitions; page-image proofread vs page 326: confirmed",high,1895 I,326,"Holetschek's estimates give H1-values between 11m.5 and 8m.0. In C.A.M., y=10.3, Hy=9m.3, H10=9m.3."
1895 W2,Brooks's Comet (1895 III),10.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); discovery 21 Nov 1895 Geneva NY; In C.A.M., H10=10.5 (figure based on Holetschek's estimates); Big V's range H10=9.5 to 12; in Nov. 9.9±0.1; in Dec. 11.6±0.2; 'comet was exhausting itself rapidly'; page-image proofread vs page 328: confirmed",high,1895 III,328,"In C.A.M., H10=10m.5; the figure is based on Holetschek's estimates. According to the estimates above, H10=9.5 to 12m."
1895 W1,Perrine's Comet,5.2,10.0,"Vsekhsvyatskij 1958, other","matched by name (Perrine); 16 Nov 1895 disc Lick Obs.; bright naked-eye comet (4-5m); Holetschek H1=5.5 to 7.5; In E-III, H10=4.9; from Holetschek y=10 Hy=5.7; Big V's 'Finally, H10 may be taken as equal to 5m.2' — narrative endorsement over E-III=4.9; took 5.2; brightness law y=2.5, n=10 confirmed independent of nucleus; page-image proofread vs page 329: confirmed",medium,1895 IV,329,"Holetschek's estimates gave H1=5m.5 to 7m.5. In E-III, H10=4m.9. ... Finally, H10 may be taken as equal to 5m.2."
1896 C1,Perrine-Lamp Comet,9.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (Perrine); 14 Feb 1896 disc Lick Obs near comet 1895 IV (which Lamp had rediscovered 13 Feb); Holetschek H1=7.6 to 10.2; In E-III, H10=9.3; Big V's narrative ranges H10=10.8 to 9.5 (Feb), 7.1 to 8.7 (March-April), avg 8.8; took E-III synthesis 9.3; page-image proofread vs page 331: confirmed",high,1896 I,331,"Holetschek's estimates gave H1=7m.6 to 10m.2; in E-III, H10=9m.3; from these estimates, H10=10m.8 to 9m.5 (Feb.) and H10=7m.1 to 8m.7 (March to April), averaging, H10=8m.8."
4P,Faye's Comet,7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Faye); 8th recorded apparition of 4P/Faye; Javelle Nice rediscovery 26 Sept 1895; faint apparition (12-13m throughout); Holetschek H1=9.2 and 10.0; Vsekhsvyatskii M.N. 90:712 H10=7.8; In C.A.M., H10=7.8; Cherednichenko 1953 H10=7.8 max=6.9 min=7.9; periodic — dedupe with other 4P apparitions; page-image proofread vs page 331: confirmed",high,1896 II,331,"Holetschek, adopting for Oct. 1895 to Jan. 1896, m=12 to 13m.5, got H1=9m.2 and 10m. H10 obtained first by S. Vsekhsvyatskii (7m.8); in C.A.M., H10=7m.8."
1896 R1,Sperra's Comet,8.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Sperra); 31 Aug 1896 disc by Sperra (Randolf Ohio) + indep by Brooks 4 Sept; only E-III H10 cited; 'discovered one and a half months after the perihelion passage'; D1=2 to 3'; page-image proofread vs page 333: confirmed,high,1896 IV,333,"In E-III, H10=8m.4. Taking m=10m at discovery, we obtain H10=7m.3."
205P,Giacobini's Comet,9.9,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1896 G1 (Swift) wrong, body identifies as Giacobini Nice 4 Sept 1896 disc with calculated short period (Hussey P=8.996y, Ebell P=6.522y, final P=6.64y) → 205P/Giacobini (peri Oct 28 1896); Big V's narrative range H10=9.4 to 10.4 (no C.A.M.); took midpoint 9.9; periodic — dedupe with other 205P apparitions; page-image proofread vs page 333: confirmed",medium,1896 V,333,"Absolute magnitude estimated first in M.N., 90:720. Proceeding from the estimates above, H10=9m.4 to 10m.4."
16P,Brooks 2 Comet,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); SECOND recorded apparition of 16P/Brooks 2; Javelle Nice 20 June 1896 rediscovery per Poor and Bauschinger; Holetschek H1=9.2 to 10.0; Vsekhsvyatskii M.N. 90:714 H10=9.0; Hb=7.0; He=9.8; In C.A.M., H10=8.0; Konopleva 1953 H10(av)=8.0 min=7.3 max=8.9; periodic — dedupe with other 16P apparitions; page-image proofread vs page 334: confirmed",high,1896 VI,334,"Holetschek found from the estimates of Cruls, Kobold et al., H1=9m.2 to 10m.0. In M.N., 90:714, H10=9m.0. In C.A.M., H10=8m.0."
18D,Perrine-Mrkos Comet,12.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 205P, but Big V 1896 VII (1896h) explicitly says 'first recorded apparition of the short-period Comet Perrine(1)' = 18D/Perrine-Mrkos (peri Nov 25 1896); Perrine Lick Obs 8 Dec 1896 disc; Holetschek H1=10.7 to 13.3; In C.A.M., H10=12.1; alternate Big V narrative H10=9.9±0.1 ('His own estimates') is significantly brighter — discrepancy noted; took C.A.M. per §3.1 priority; periodic — dedupe with other 18D apparitions; page-image proofread vs page 334: confirmed",low,1896 VII,334,"Holetschek obtained from various estimates H1=10m.7 to 13m.3. In C.A.M., H10=12m.1. His own estimates gave H10=9m.9±0m.1."
1896 V1,Perrine's Comet (1897 I),7.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Perrine); discovered by Perrine 2 Nov 1896 in Vulpecula; ASYMMETRIC photometry — pre-peri H10=7.0, post-peri H10=8.3 per E-III; took pre-peri (brighter) per commission §3.3; nuclear brightness 8.4-8.9 pre-peri; page-image proofread vs page 335: confirmed",low,1897 I,335,"In E-III, H10=7m.0 before the perihelion passage and 8m.3 after the perihelion passage. Nuclear brightness 8m.4 to 8m.9."
6P,d'Arrest's Comet,9.65,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 113P (Roman fallback), but body explicitly says 'sixth recorded apparition of the short-period Comet d'Arrest' = 6P/d'Arrest; Perrine Lick Obs 28 June 1897 rediscovery per Leveau; Holetschek H1=9.5 to 13 (range from underestimate at discovery m=11); In M.N. 90:712 and C.A.M., H10=8.3 to 11m (range); took midpoint 9.65 per commission §3.4; Hb=8.3; Hm(av)=11; periodic — dedupe with other 6P apparitions; page-image proofread vs page 336: confirmed",medium,1897 II,336,"In M.N., 90:712 and C.A.M., H10=8m.3 to 11m; Hb=8m.3 and Hm(av)=11m."
1897 U1,Perrine's Comet (1897 III),8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 6P, body identifies as Perrine Lick Obs 16 Oct 1897 disc → C/1897 U1 (Perrine, peri Dec 9); V.I. according to Holetschek's estimates H10=8.0; same figure cited in C.A.M.; Big V notes 'Observations in middle and end of November yielded H10=11 to 12m; rapid exhaustion of the comet is obvious'; took C.A.M./V.I. value 8.0; page-image proofread vs page 337: confirmed",high,1897 III,337,"V.I., according to Holetschek's estimates, H10=8m.0; same figure cited in C.A.M."
1898 F1,Perrine's Comet (1898 I),5.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Perrine); 19 March 1898 disc Lick Obs 2 days post-peri; bright comet 6-7m; Holetschek H1=4.3 to 6.4; In E-III, H10=5.7 with very small mean error (March-July); central condensation h10=7.0; Bobrovnikoff y=14.14, H0=4.78 (8 normal positions); brightness decreased faster than y=10 (March to May); page-image proofread vs page 338: confirmed",high,1898 I,338,"E-III, according to March-July estimates, H10=5m.7 with very small mean error; central condensation h10=7m.0."
7P,Pons-Winnecke Comet,9.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Pons-Winnecke); 7th recorded apparition; rediscovered by Perrine 1 Jan 1898 per Haerdtl; Big V's narrative synthesis H10=9.6; nuclear h10=11.5; D1=1'.4; no C.A.M. or formal authority cited; periodic — dedupe with other 7P apparitions; page-image proofread vs page 339: confirmed,medium,1898 II,339,"Taking m=12 to 13m upon discovery and in February m=10 to 11m, we obtain H10=9m.6; h10=11m.5; in Feb., D1=1'.4."
2P,Encke's Comet,10.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Encke-Backlund); 28th recorded apparition; rediscovered by Grigg (Thames NZ) 7 June 1898; Holetschek H1=8.5, 10.8, 12.2; In A.Zh. 4:298 and C.A.M., H10=10.7; D1=0'.9 to 1'.5; periodic — dedupe with other 2P apparitions; page-image proofread vs page 339: confirmed",high,1898 III,339,"In A. Zh., 4:298 and C.A.M., H10=10m.7; D1=0'.9 to 1'.5."
14P,Wolf's Comet,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Wolf); third recorded apparition of 14P/Wolf; Hussey Lick Obs 16 June 1898 rediscovery per Thraen; Vsekhsvyatskii M.N. 90:713 H10(av)=8.0; Hb=7.3; He=8.5; In C.A.M., H10=8.0; Bobrovnikoff Pop.Astr. 56(3) 1948 H0=10.7 (erroneous reduction); Vsekhsvyatskii 1948 reappraisal H10(av)=7.78; H10(max)=7.0; H10(min)=8.6; periodic — dedupe with other 14P apparitions; page-image proofread vs page 340: confirmed",high,1898 IV,340,"In C.A.M., H10=8m.0. After thorough revision of observations in A. Zh., 25, we obtain H10(av)=7m.78; H10(max)=7m.0; H10(min)=8m.6."
1898 M1,Giacobini's Comet (1898 V),9.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Giacobini); 18 June 1898 disc Nice; only E-III H10 cited; from 6 estimates; nuclear brightness 10.5-13.6; page-image proofread vs page 340: confirmed,high,1898 V,340,"E-III gave, from 6 estimates, H10=9m.6; nuclear brightness between 10.5 and 13m.6."
1898 L2,Perrine's Comet (1898 VI),7.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1898 M1 (already mapped to entry 86), but Big V 1898 VI (1898e) is Perrine Lick Obs 14 June 1898 disc → C/1898 L2 (Perrine, peri Aug 16 1898); only E-III H10 cited; brilliance 9.7; page-image proofread vs page 341: confirmed",high,1898 VI,341,"In E-III, H10=7m.6; 23 June, brilliant nucleus 9m.7; 17 June, D1=4'."
1898 L1,Coddington-Pauly Comet,5.0,10.0,"Vsekhsvyatskij 1958, other",matched by name (Coddington); discovered photographically by Coddington (Lick Obs.) 11 June 1898 from plates of Antares region taken 9 June; visually rediscovered by Pauly (Bucharest) 14 June; remarkably bright object; Big V's narrative synthesis H10=5.0 from 14 estimates over 9 June 1898 to 3 March 1899; brightness of central condensation 1m less than coma; page-image proofread vs page 342: confirmed,high,1898 VII,342,The value H10=5m.0 is obtained from 14 estimates based on observations from 9 June 1898 to 3 March 1899.
1898 V1,Chase's Comet (1898 VIII),5.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Chase); discovery 21 Nov 1898 Newhaven (photographic) from 14 Nov plates of Leonids radiant; only E-III H10 cited; brilliance 7.2; page-image proofread vs page 342: confirmed,high,1898 VIII,342,"In E-III, H10=5m.6; brilliance of nucleus, 7m.2."
1898 R1,Perrine-Chofardet Comet,7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Chofardet); 12 Sept 1898 disc Perrine Lick Obs + 14 Sept indep Chofardet Besançon; Holetschek H1=6.8 to 6.4; V.I. from Holetschek H0=6.7 y=6.9; from Nijland H0=7.0 y=5.2 h10=8.7; In C.A.M., H10=7.0; D1=4 to 6'; tail type I; page-image proofread vs page 343: confirmed",high,1898 IX,343,"In C.A.M., H10=7m.0. 14 Sept. and 15 Sept., D1=4 to 6'."
1898 U1,Brooks's Comet (1898 X),9.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); 20 Oct 1898 disc Geneva NY; Holetschek H1=8.6 to 6.5; from his own observations y=8.6 H0=9.1; Nijland H0=9.1; Schorr nuclear 11.8; In C.A.M., H10=9.2; D1=2'.5; orbit 'closely similar to that of 1881 IV' per Scharbe; page-image proofread vs page 344: confirmed",high,1898 X,344,"According to his own observations, y=8.6, H0=9m.1; according to Nijland's observations, H0=9m.1. In C.A.M., H10=9m.2."
1899 E1,Swift's Comet,5.3,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 64P (Lewis Swift's periodic), but plate caption explicitly says 'Comet 1899 I (E. Swift)' = Edward Swift Echo Mountain CA, 3 March 1899 disc, naked-eye comet 4-6m → C/1899 E1 (Swift, peri April 13 1899); V.I. from Holetschek y=14.0 H0=5.3 (non-standard y, noted); from Nijland y=6.9 H0=6.4; Bobrovnikoff y=7.94 H0=6.68 (March-June) and y=33 H0=2.1 (June-July, criticized in footnote as erroneous); chose V.I. Holetschek-based H0=5.3 with non-standard y=14 noted; no C.A.M. cited; page-image proofread vs pages 345-347: confirmed",low,1899 I,346,"V.I. obtained from Holetschek's observations, y=14.0, H0=5m.3; from Nijland's estimates, y=6.9, H0=6m.4. Bobrovnikoff ... obtained y=9.5, H0=6m.49."
17P,Holmes' Comet,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 206P, but body explicitly says 'second recorded apparition of the short-period Comet Holmes' = 17P/Holmes; Perrine Lick Obs 10 June 1899 rediscovery per Zwiers; faint apparition (15-17m, no outburst this time); Holetschek H1=11.7; Vsekhsvyatskii A.Zh. 7:215 1930 H10=9.52; In C.A.M., H10=9.5; D1=0'.4 to 0'.9; periodic — dedupe with other 17P apparitions (1892 outburst was much brighter; for periodic dedupe the 1892 entry will dominate per §3.6 brightest); page-image proofread vs page 347: confirmed",high,1899 II,347,"Holetschek, reducing Perrine's estimates, obtained H1=11m.7; In A. Zh., 7:215. 1930, S.K. Vsekhsvyatskii obtained H10=9m.52; in C.A.M., H10=9m.5."
8P,Tuttle's Comet,8.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1899 E1, but body explicitly says 'fifth recorded apparition of the short-period Comet Tuttle' = 8P/Tuttle; discovered photographically by Wolf (Heidelberg) 5 March 1899; brightness 11-12m; From M.N. 90:714 H10=8.5; same magnitude in C.A.M. 8.5 from Innes' descriptions; D1=1'.8 to 3'.5 March-April; periodic — dedupe with other 8P apparitions; page-image proofread vs page 348: confirmed",high,1899 III,348,"From M.N., 90:714, H10=8m.5; same magnitude in C.A.M. 8m.5, was obtained from estimates based on Innes' descriptions."
10P,Tempel 2 Comet,9.9,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 3D, but body explicitly says 'fourth recorded apparition of the short-period Comet Tempel(2)' = 10P/Tempel 2; rediscovered by Perrine 6 May 1899 per Schulhof; Holetschek H1=10.3; V.I. H10=9.4 nucleus 10.7; In M.N. 90:712, H10=9.9 (no C.A.M. — narrative source); D1=0'.9 (central) and 1'.8 (external coma); S=0.003; periodic — dedupe with other 10P apparitions; page-image proofread vs page 349: confirmed",high,1899 IV,349,"In V.I., H10=9m.4; nucleus 10m.7. In M.N., 90:712, H10=9m.9; D1=0'.9 (central condensation) and 1'.8 (external coma)."
1899 S1,Giacobini's Comet,6.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Giacobini); 29 Sept 1899 disc Nice; In C.A.M., H10=6.5; Big V notes 'brightness apparently fluctuated' but observations H10 averages confirm C.A.M. (Oct=6.2, Nov=6.7, Dec=6.9); page-image proofread vs page 349: confirmed",high,1899 V,349,"In C.A.M., H10=6m.5. The brightness apparently fluctuated. Taking m=10 to 11m in October, in November 11 to 12m and in Dec., 12 to 13m, we obtain respectively H10=6m.2, 6m.7 and 6m.9. This is in good agreement with C.A.M."
1900 B1,Giacobini's Comet (1900 I),8.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 15P, but body identifies as Giacobini Nice 31 Jan 1900 disc faint object → C/1900 B1 (Giacobini, peri April 29 1900); In V II (Vsekhsvyatskii's Catalog II), H10=8.6; Big V's narrative shows rapid fading H10=7.3 (Feb), 6.7 (July), 7.7 (Aug), 10.5 (late Aug), avg H10=8.0; took V II value 8.6; (V II is a Vsekhsvyatskii reference distinct from formal C.A.M. citation in this entry); page-image proofread vs page 350: confirmed",medium,1900 I,350,"In V II, H10=8m.6. Taking m=11m upon discovery; 23 Feb., 10m; 26 July, 10m.5 and 17 Aug., 14 to 15m, we obtain respectively H10=7m.3, 6m.7, 7m.7, and 10m.5."
1900 O1,Borrelly-Brooks Comet,8.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Borrelly); discovery 23 July 1900 by Borrelly Marseilles + indep Brooks Geneva US; naked-eye 6-7m at peak; V.I. from Holetschek y=9.4 H0=8.3; from Nijland y=3.4 H0=8.7; In C.A.M., H10=8.2 as average of all estimates; nucleus 10.3; Bobrovnikoff non-standard reductions y=16.4 H0=8.6, y=16.9 H0=8.64; page-image proofread vs page 351: confirmed",high,1900 II,351,"In C.A.M., H10=8m.2 as the average of all estimates; nucleus 10m.3."
